Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)"
missing__missingindicator_유동자산계_연결,5.196593288272286e-07,0.0018309361341336458,2.0145386342958547e-06,0.017300841440812235,0.02341041406525198,0.44224140665121436,0.1314307340475104,
cat__KSIC세분류_11차_J58220.시스템ㆍ응용_소프트웨어_개발_및_공급업,5.05947329554505e-07,0.0017826241082602664,4.987872984985634e-06,0.0007257398624908396,-0.022157324428875753,0.4402788914033015,0.2680142013964793,
cat__NICS산업분류_N20104.전기장비,5.006780319081474e-07,0.0017640585847970495,2.532130676516872e-06,0.012729945511739034,0.009902795078964771,0.7501523771037788,0.29450626882218706,
cat__KSIC중분류_11차_G46000.도매_및_상품_중개업,4.98521357695398e-07,0.0017564598897931735,1.0595581719008754e-06,0.015126745639589536,0.03629634493801599,0.6019708918687866,0.3398158364624742,
cat__Scope2사업장간접자료출처_Exact_Value_from_Environmental/CSR,4.958856708811646e-07,0.0017471734708668927,5.564374346041969e-06,0.005631217164752056,-0.004459997436509847,-0.830137563108553,-0.1819802295784059,
cat__KSIC중분류_11차_C23000.비금속_광물제품_제조업,4.512787615846045e-07,0.0015900081944397134,7.1894899030586035e-06,0.0014131449516536568,-0.008197611664829515,0.6223733302981234,0.23509473190941643,
cat__Trucost산업_Electrical_Equipment,4.1751607511355625e-07,0.0014710507944354118,2.9440347855691913e-06,0.0057187372971535585,0.02814047268255914,0.505214951959942,0.21729884910666586,
cat__KSIC세분류_11차_C20200.합성고무_및_플라스틱_물질_제조업,3.8892525453439464e-07,0.0013703156327650571,1.548762744723765e-06,-0.005134886830067272,0.00805440380146143,0.03268661373284533,0.0024930579593036295,
missing__missingindicator_자본금_연결,3.8870666077966397e-07,0.0013695454527990099,7.50961961819439e-07,0.017300841440812235,0.02341041406525198,0.2645148042487682,0.08009542077530195,
missing__missingindicator_fe_시장지배력,3.722454772624803e-07,0.0013115471180433623,8.733653800345641e-07,0.017237207835653023,0.02368539177455229,0.10330242265937997,0.09368964388857645,
cat__KSIC소분류_11차_C20400.기타_화학제품_제조업,3.632678652066656e-07,0.0012799159446969296,4.5835078979217535e-06,0.00481901392346391,0.004346563459329399,0.543726739684396,0.3369851900869989,
cat__KSIC대분류_11차_M00000.전문__과학_및_기술_서비스업(70~73),3.6206729711442515e-07,0.0012756859359592209,8.046146707076907e-06,-0.00822022282635137,-0.01982251619096741,-0.5937903609549225,-0.2680455355339482,
missing__missingindicator_현금및현금성자산_연결,3.464644415986469e-07,0.0012207117819803498,6.0335020222954365e-06,0.017300841440812235,0.02341041406525198,-0.5777289796216544,-0.2786413520331766,
cat__KSIC중분류_11차_C30000.자동차_및_트레일러_제조업,3.407899194064521e-07,0.0012007185149508128,3.3618925611442387e-06,0.012690857015420293,0.05133370768816211,-0.33321818664579195,-0.1735529468973923,
missing__missingindicator_유형자산_투자부동산감가상각비_연결,3.2265896249937685e-07,0.001136837001994041,9.293648193487659e-07,0.01779863475042411,0.024872630179746294,-0.03577121507430304,-0.07703014552531383,
cat__KSIC중분류_11차_C28000.전기장비_제조업,3.200774000422143e-07,0.0011277412815419343,7.139421928671242e-07,0.004187321913236264,0.016797130468140565,0.10769305271085894,0.11517790443770898,
cat__Trucost산업_Communications_Equipment,3.145827587606873e-07,0.0011083817959936725,6.47992494249452e-07,-0.008249177557101637,0.0024596709706339124,-0.5529221426324471,-0.162309110533184,
missing__missingindicator_당기순이익지배기업지분_연결,2.892595514528008e-07,0.0010191595445682936,6.679564510628748e-07,0.01754174012150381,0.02224082069970004,0.14681938612157172,0.11381184402380706,
cat__KSIC세분류_11차_C26420.방송_및_무선_통신장비_제조업,2.7305305478380023e-07,0.0009620585579931926,6.250036154212666e-06,0.0037515769127203944,-0.006265370845442247,0.5739019385432417,0.2971877686409793,
missing__missingindicator_fe_판관비율,2.3071983501231385e-07,0.0008129042612181126,4.923178305533732e-06,0.017237207835653023,0.02368539177455229,0.6198163049563437,0.2795266847690027,
cat__KSIC소분류_11차_C26400.통신_및_방송장비_제조업,2.1725444601690415e-07,0.000765461127025754,5.191730166173555e-06,0.00669363761226067,-0.0047097489274888,0.5121623539081622,0.3223339392886238,
cat__NICS산업분류_N25203.섬유__의류__사치품,2.1222070759400967e-07,0.0007477255586312557,2.6401648119136145e-06,0.01225502604011233,0.03135808738720684,0.5681771602729335,0.2811309307254436,
cat__Scope2사업장간접보고추정구분_외삽값,2.0686980053243103e-07,0.0007288724975084129,4.091432956069197e-06,0.001719617202028938,0.014352648857582116,-0.6076939831232689,-0.33452405549342,
missing__missingindicator_비유동자산계_연결,1.727735969896402e-07,0.0006087400036991334,1.2987341669396484e-06,0.017300841440812235,0.02341041406525198,0.6183890552799365,0.27096098493201853,
cat__KSIC중분류_11차_C17000.펄프__종이_및_종이제품_제조업,1.7116387833932997e-07,0.0006030684187219266,8.764745220027661e-06,0.0070955260224011725,0.022530901748349593,-0.6578040207529485,-0.1976413512270024,
missing__missingindicator_총수익_연결,1.6926410648649625e-07,0.0005963748778981464,3.452602784895177e-07,0.017237207835653023,0.02368539177455229,0.22783321442930285,-0.1243299826929427,
cat__Scope2사업장간접자료출처_Extrapolated_from_prior_year,1.603202666973366e-07,0.0005648626957059568,1.5299259055875158e-06,0.001719617202028938,0.014352648857582116,-0.5278679079342136,-0.224266471239585,
cat__KSIC소분류_11차_C14100.봉제의복_제조업,1.1651367334727845e-07,0.00041051720390283234,7.052206686720136e-06,0.007437237059752614,0.019726190938437912,0.5709069079805565,0.29967426998934665,
cat__KSIC소분류_11차_C10800.기타_식품_제조업,1.0587358339833471e-07,0.0003730285568657072,4.250718853751591e-06,0.008573504936575717,0.01267636947640159,0.57754486224505,0.25117144075369563,
cat__KSIC소분류_11차_G46800.상품_종합_도매업,1.0401118173438582e-07,0.0003664666838969486,2.5865727369326557e-07,0.008024959197322584,0.037127550196520115,0.47144303699114837,0.13050899478765257,
missing__missingindicator_영업이익손실_연결,9.661515829647078e-08,0.000340407983879114,1.6221391117593456e-06,0.017300841440812235,0.02341041406525198,0.19010273849636156,0.08891734134242017,
cat__KSIC세분류_11차_C29290.기타_특수_목적용_기계_제조업,7.69005626784746e-08,0.0002709467744204401,3.1338022032575476e-06,-0.001625983756499987,-0.012079447851861063,-0.33232378238513544,-0.06335447618656462,
cat__NICS산업분류_N30302.개인용품,6.123336625509372e-08,0.0002157459255934298,3.021858392877226e-06,-0.005798653491874171,-0.003742558513918755,-0.4159424286484892,-0.17852675263387774,
missing__missingindicator_fe_signed_log1p_자산총계_연결,5.949974910929648e-08,0.00020963780417827645,1.7275936874482704e-07,0.017300841440812235,0.02341041406525198,0.19897993587347393,0.1565511800617,
cat__Scope1자료출처_Extrapolated_from_prior_year,2.5432375757860554e-08,8.960688891512801e-05,9.79229262114447e-07,0.0015087097215224067,0.01680935773311089,0.35933597880418233,0.27880686732633664,
cat__KSIC세분류_11차_C28900.기타_전기장비_제조업,0.0,0.0,0.0,,,,,
cat__KSIC세분류_11차_C28520.가정용_비전기식_조리_및_난방_기구_제조업,0.0,0.0,0.0,,,,,
cat__KSIC세분류_11차_C29160.산업용_트럭__승강기_및_물품_취급장비_제조업,0.0,0.0,0.0,,,,,
