Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)",Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)"
num__fe_부채_자산,0.00010936736491046676,0.3739300331979836,0.00022467581690688553,0.10074649945081282,0.2892411895506821,0.656240324095302,0.6428299602725961,0.8856810179785927,num__종업원1인당인건비증가율,0.00012763481842604658,0.4363869599522796,0.00016230352255784322,0.025439910352929813,-0.029523533587590873,-0.3033599759965112,-0.39312485741729336,-0.30095848525747565
num__판매비와관리비_연결,0.00010823447298049313,0.3700566444834292,0.00021273505563687084,0.030116411856284064,-0.02385734769302853,0.1918958129924344,0.7435514143763573,0.17054248975309066,num__fe_영업현금흐름_자산,0.00011834417127288957,0.4046219814209346,0.00023798682955406672,-0.06346565152186452,-0.40035930083095694,-0.09450343935015164,0.2774308379791847,-0.5543676082942093
num__총수익_연결,0.0001055629746864026,0.36092271822841315,0.0002071089980637835,0.02979507962497835,0.012333540550696517,0.06455483619614195,0.20794006176235338,0.048632742008584175,num__평균시가총액,0.00011715530138858558,0.40055720253858884,0.00020396625268283633,0.06493173159391326,-0.08512733692947454,-0.23680301171901857,-0.7728916335318524,-0.2919195349720465
num__무형자산계_연결,0.00010490674827583177,0.3586790620546448,0.0001911761670139594,0.04669069422466713,-0.016471813159955103,0.2421624469700486,0.7151392090507414,0.3310847314632147,num__매출채권회전율,0.00011664059070075287,0.398797392518971,0.00024805884660841857,-0.07818390103915235,-0.10027525996334541,-0.039717535300580226,0.143404672303657,0.07820184788672489
num__fe_Scope1_2_매출집약도__diff1,0.00010026577939042532,0.34281146159804127,0.0002137543588662707,-0.008483262763567735,0.05486575609236081,0.27719627000201114,-0.09199714253485654,0.36269988902885075,num__fe_signed_log1p_평균시가총액,0.00010907695820592885,0.3729371246757963,0.00021627389520611088,0.01861693824278038,-0.14423309463750195,-0.6027681154381505,-0.7654130437283955,-0.74243875988638
num__fe_Scope2_매출집약도,0.00010022433308186345,0.34266975552741263,0.0001981510770478366,-0.034064810127215434,0.08491067772007427,0.09160613021892064,0.15610598019083183,0.13834492644366708,num__fe_Scope1_2_매출집약도__lag1,0.00010903652550295069,0.3727988841505785,0.0002235601376363772,-0.045217035250866955,-0.018212107813681922,-0.6287601103444594,-0.4671776780420139,-0.6188120482704914
num__fe_운영탄소집약도_변화,9.685659410605982e-05,0.3311553632033833,0.00019290432091955017,-0.003344448534057186,0.08129138100666831,0.06882760319850845,-0.1548942996749203,0.3652949233193242,num__매입채무회전율,0.00010787857855773032,0.3688398316487447,0.00021771336667081436,-0.0688087501286243,-0.10405554767311014,-0.5750581096816799,-0.5761254938683079,-0.6154277421212049
num__환경등급__lag1,9.674591089232866e-05,0.33077693424682175,0.00018475285195637697,-0.003593024783127949,0.007757463210951109,0.8266598843515941,0.8894767580908143,0.929202978062072,num__fe_Scope1_매출집약도,9.513620577622339e-05,0.3252733081148676,0.00018420160492107625,-0.040763380217723556,-0.03806585871009931,-0.327864648270715,-0.5489859092272044,-0.37742909910778244
num__재고자산계_연결,9.028008014535422e-05,0.3086700808189459,0.00016595967145674294,0.040467672096396595,-0.008662571159817537,0.1481199508575894,0.556232876291366,0.2157301364771932,num__변동성,9.043269414950464e-05,0.30919187230295186,0.0001564045345621018,0.08627929727729525,0.09098238151999333,-0.3365370458781126,-0.4202219847170771,-0.47486463760156
num__유동부채계_연결,8.938250145769231e-05,0.30560123456165533,0.0001829841709711954,0.02679614440783285,0.0338742727225472,0.3241099746801906,0.44972733582452395,0.4059324257841663,num__매출대비온실가스직접외부비용비율_pct__lag1,8.915195117208181e-05,0.3048129767845505,0.00017822495948745357,-0.041195673996209145,-0.04339564455772572,-0.48477502519335297,-0.4265972527070301,-0.34603427718791985
num__평균근속월수,8.609744962638856e-05,0.2943695518623225,0.0001744622890845443,-0.036446285577002864,0.01293586291917124,0.09358056571339327,0.06006841339286217,0.4179394284490559,num__fe_Scope1_2_매출집약도,8.845570189499153e-05,0.30243248132770584,0.00018467406048580735,-0.04520913554787739,-0.010195564299587298,-0.364427386815047,-0.1264972701337858,-0.4399278061945927
num__fe_signed_log1p_연간급여총액,8.602991307394273e-05,0.2941386425291881,0.00016779894660289593,0.048779311870310274,-0.0223297523268591,0.36257980669705264,0.4769687150129501,0.4574082413682619,num__경쟁_거래대금_억원,8.826649230077871e-05,0.301785568513236,0.00018916963197229193,-1.8558646805898962e-17,-5.922735343734368e-17,-1.1669471029315256e-16,,-2.1835316618756939e-16
num__fe_감가상각부담,7.997023829105599e-05,0.2734204475302614,0.00015544990403480543,-0.07927454743288714,0.055621073894119744,0.5714458092957646,0.5812191214863264,0.7627317313557127,num__노동생산성__lag1,8.823729198044372e-05,0.3016857318136758,0.00022983183153245468,-0.04833855894162293,-0.07121699244091897,-0.7372153519502872,-0.36054978671195786,-0.7654015512594401
num__연간급여총액,7.926197611626438e-05,0.27099887964527564,0.00015601093756363105,0.022105216155680445,-0.018478222007092107,0.14306572254049071,0.4973769354097475,0.13044646719116848,num__상장주식수_보통주,8.48932508741505e-05,0.2902523631582702,0.00016665160570796184,-0.04843564095254883,-0.02909323318320101,-0.16372905858838405,-0.6083075102086837,-0.37627200095626595
num__사회등급__diff1,7.831607497611126e-05,0.2677648175918558,0.00019324027906711166,0.0692686508218822,0.12148227601885776,0.7655281228060107,0.7159688267773817,0.838304145903901,num__fe_Scope3_매출집약도,8.322316213430597e-05,0.2845422837534597,0.0001643418088813118,-0.03076337342049923,0.07873820915502418,-0.07074868708608756,0.12460553961468468,-0.21491280020688777
num__기말시가총액,7.71313887898573e-05,0.2637143428883847,0.00015524853687976311,0.07064388354783054,-0.10475695581879092,0.3650829876801599,0.2903943548814231,0.16760378710938473,num__fe_signed_log1p_종업원평균급여,7.999969513530001e-05,0.2735211612921326,0.00015866930112290592,0.026774052664643486,-0.04246057430744904,-0.5713703773160457,-0.26875443898882445,-0.5725955847314029
num__영업활동으로인한현금흐름_연결,7.654083748519947e-05,0.26169523171078074,0.00015245804588504062,0.0021549705137373916,-0.07912498672609858,0.2586635205368414,0.36890801128095135,-0.12005375502036023,num__경매_평균가격_원_tCO2eq,7.163939006383344e-05,0.24493704796474292,0.00014241424454932846,-1.8558646805898962e-17,-5.922735343734368e-17,-7.758822679624515e-18,,1.4797042027028094e-16
num__fe_Scope3_매출집약도__lag1,7.475340030796713e-05,0.2555839347661304,0.00014433011619007153,-0.02651838360452139,0.08152966544180655,0.33113709068998637,0.48435490165938583,0.35223000573122865,num__부가가치(종업원1인당),7.122958489962947e-05,0.24353591282007758,0.00012806309952340962,-0.10717230940741225,-0.21711636221794456,-0.4431580628145705,-0.4904089384188093,-0.47282890420842844
