Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)",Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)"
num__매출대비온실가스직접외부비용비율_pct__lag1,0.00016636778624615025,0.26631875917010017,0.0003508948436173842,-0.030846511702860013,-0.005569721864606177,0.02343554934892519,-0.16589445446018858,0.17937063379382698,num__배출권_에너지사용량_TJ,0.00017177563887790044,0.2749755588736894,0.0004563456587021316,0.019629463590848068,0.03417907274586676,-0.010571333613363945,-0.05476900221377385,0.051126734615193466
num__이자비용_연결,0.00016464328900938128,0.26355821294506915,0.0003121221416067298,-0.0006805286733404627,0.07100509631733426,0.06270573565559612,0.021330311017264576,-0.203328977454229,num__fe_signed_log1p_자산총계_연결,0.0001648795946607974,0.2639364870646569,0.0003284299891092096,0.049486566819556224,-0.02062047903285917,-0.04303003318479709,-0.1634606771763397,-0.2654737746206578
num__fe_시장지배력__lag1,0.00013591077332305695,0.21756368420802283,0.0002808528676473367,-0.00012814918025722626,0.023506086571430426,0.039776634880771766,0.3962573871557603,-0.21853873002753255,num__EBITDA,0.0001604827467619521,0.25689808676432685,0.00031414412262602184,-0.03320168045883041,-0.09614731514476706,-0.4874699238313502,-0.16458296514673434,-0.5820135852334062
num__fe_배출권_부족비율,0.00013420063027060208,0.21482611592025772,0.0005140792715127699,-0.011404225572520573,-0.04330681048717935,0.0075778622350404215,-0.13336518587171992,0.10636982517406399,num__fe_signed_log1p_평균시가총액,0.00016023922147521903,0.2565082555737301,0.0003051530410180124,0.016142927228208256,-0.11415266917928378,-0.35513885224060676,-0.30424426649753644,-0.02955867934221993
missing__missingindicator_부가가치(종업원1인당),0.0001313088155174042,0.21019694741234732,0.00027121173898793816,-0.03204720184442239,-0.04366194737241017,0.0991939372583977,0.17715429763249094,0.5801228813071398,num__노동생산성,0.00015510572698071388,0.24829064377020227,0.00031059000664599833,-0.08741339146572517,-0.11377422232093479,-0.09648355697953633,-0.2259016993666094,-0.1432023857761781
cat__Scope1보고추정구분_보고값,0.00013051779319523128,0.2089306921590301,0.0006120842749747068,-0.006052695269770036,-0.040866739753665705,0.659669658830551,0.44710774735783426,0.8694165446730648,num__현금및현금성자산_연결,0.00015056346807621436,0.24101947197324244,0.0003672941198408767,0.012651330536733816,-0.004634702288934185,-0.05769316692514662,-0.11600418072186194,0.13367974930260942
cat__KSIC세분류_11차_C21100.기초_의약_물질_제조업,0.0001296241918650297,0.20750023015180036,0.00994865672564103,0.029430480802484386,0.03244898728081194,0.7625772347035255,0.9999566654428296,0.9531523256296685,num__자본금_연결,0.0001501743424485327,0.2403965662012552,0.0003021406425840656,-0.037832877716902184,0.010544171571878442,-0.3979956178192878,-0.5063407862917375,-0.5227893094356566
num__기말시가총액_보통주우선주,0.0001274265681225838,0.2039823109595295,0.0002658392395952335,0.07759640612934815,-0.05808324700123203,0.014497508962159279,-0.31145009510610056,-0.17962540235609797,num__Scope3협력사간접배출량_tCO2e,0.0001493768776662828,0.2391199979660055,0.00030310137437889617,-0.00047644923063260496,0.036012055481501555,-0.03650927113603193,-0.1473658343989254,-0.1092090050571539
num__소계_거래량_천톤,0.00011490218244973776,0.18393348463911968,0.00045449558526845633,-0.0006115215279194054,-0.04236808062007087,0.02330246495747053,0.1792125836429827,0.046276180388687964,num__종업원1인당인건비,0.00011847187566720186,0.18964778961211717,0.00023474810531278422,-0.025742151081658546,0.015311562989261233,-0.13981493543167206,-0.48288813262043884,-0.2130943646330562
cat__KSIC중분류_11차_C26000.전자_부품__컴퓨터__영상__음향_및_통신장비_제조업,0.00010919686705082137,0.1748005115317815,0.0003502963591819296,-0.02260581778229675,0.019841774830608564,0.8320558316547023,0.44453935530916144,-0.24477694088657156,num__유동부채계_연결,0.00011623638865787547,0.18606925953788858,0.00023188521916522187,0.024773873393329152,0.04141160710404874,-0.237301811707552,-0.31486956299692814,0.02728544981547426
num__유형자산_투자부동산감가상각비_연결,0.00010533305036430859,0.16861537864740003,0.0003504859730818899,-0.02549277917646959,0.019100389641913542,0.33663858993847273,0.011595994498268524,0.7792626299281782,cat__Scope2사업장간접보고추정구분_추정치,0.0001132335316644623,0.1812623364760656,0.0002866471445104016,0.006128413312398244,0.004772487546824499,-0.2471463897414765,-0.4215464390544233,-0.1858075665095565
num__총매출_백만USD,8.648224003116647e-05,0.13843931794148026,0.00016940724416847423,0.017479418912002425,0.028869706694772564,0.09337699425034608,0.47510175407684757,0.3182224547333142,cat__Trucost산업_Pharmaceuticals,0.0001052657655215215,0.16850767020067284,0.0012006104807971364,0.03330883470475624,0.013638989629177688,-0.7880689085492604,-0.4292816508707207,-0.9412306606344749
