Feature,Feature Importance (Gini/Gain),Importance (%),Cumulative Importance (%)
num__기말종가,0.005609917943139397,0.5609917943139398,61.45081446091337
num__연간급여총액,0.0056048876444164284,0.5604887644416429,62.011303225355014
num__fe_시장지배력__diff1,0.005592617686498712,0.5592617686498712,62.57056499400488
num__매입채무회전율,0.005527257857867878,0.5527257857867878,63.123290779791674
num__fe_부채_자산,0.005498299828220951,0.549829982822095,63.67312076261377
num__fe_자본집약도,0.005480071133698134,0.5480071133698133,64.22112787598358
num__이자비용_연결,0.005463240363887412,0.5463240363887412,64.76745191237232
num__유동비율,0.005449255783837219,0.5449255783837219,65.31237749075605
num__지배기업소유주지분_연결,0.005436075862788639,0.543607586278864,65.85598507703492
num__자본집약도_종업원1인당,0.005422125317028581,0.5422125317028581,66.39819760873777
num__fe_판관비율__lag1,0.005417444290690286,0.5417444290690285,66.9399420378068
num__자본총계_연결,0.005346222314297115,0.5346222314297114,67.47456426923651
num__fe_시장지배력__lag1,0.005345582022748326,0.5345582022748326,68.00912247151135
num__현금및현금성자산_연결,0.0052395681286215,0.52395681286215,68.5330792843735
num__판매비와관리비_연결,0.0052353578094215345,0.5235357809421535,69.05661506531565
num__fe_재고자산비중,0.005183136485558511,0.518313648555851,69.5749287138715
num__재고자산회전율2,0.005148120807180032,0.5148120807180032,70.0897407945895
num__비유동부채계_연결,0.00509632955939079,0.509632955939079,70.59937375052858
num__변동성,0.005070330724224893,0.5070330724224893,71.10640682295107
num__fe_운영탄소집약도_변화,0.005019959710813352,0.5019959710813352,71.6084027940324
num__무형자산상각비_연결,0.004932559937915063,0.4932559937915063,72.10165878782391
num__유형자산계_연결,0.004898175520054899,0.4898175520054899,72.5914763398294
num__부채총계_연결,0.0048140977824550095,0.48140977824550096,73.0728861180749
num__fe_signed_log1p_자산총계_연결,0.0047625243730219785,0.47625243730219785,73.5491385553771
num__fe_Scope1_2_매출집약도__lag1,0.004744022669702124,0.4744022669702124,74.02354082234731
num__유동자산계_연결,0.004714414492767015,0.4714414492767015,74.49498227162401
num__경매_거래대금_억원,0.0046989556609515915,0.46989556609515915,74.96487783771917
num__기말종가수정,0.004697313423034834,0.46973134230348346,75.43460918002266
num__KSIC중분류_EBITDA대매출액,0.004670709249595166,0.46707092495951663,75.90168010498218
num__유형자산_투자부동산감가상각비_연결,0.004644047015110072,0.4644047015110072,76.36608480649318
num__평균근속월수,0.004636434260243831,0.4636434260243831,76.82972823251755
num__fe_재고자산비중__lag1,0.004629721068962337,0.46297210689623375,77.29270033941378
num__fe_Scope3_매출집약도,0.004575431860148617,0.45754318601486166,77.75024352542864
num__fe_Scope1_매출집약도,0.004534596400026542,0.45345964000265426,78.20370316543129
num__fe_시장지배력,0.004516928751773746,0.45169287517737455,78.65539604060866
num__매출대비온실가스직접외부비용비율_pct__lag1,0.004487526616821278,0.44875266168212774,79.10414870229079
num__경매_거래량_천톤,0.004480930081978349,0.4480930081978349,79.55224171048862
num__fe_Scope1_2_매출집약도,0.0044515525728345984,0.44515525728345984,79.99739696777208
num__fe_signed_log1p_종업원평균급여,0.004403517667781763,0.44035176677817633,80.43774873455025
num__이자수익_연결,0.004391075373940252,0.43910753739402525,80.87685627194428
num__평균시가총액,0.004365637681509756,0.4365637681509756,81.31342004009525
num__무형자산계_연결,0.004340058817298375,0.43400588172983745,81.74742592182508
num__유무형리스자산의증가_연결,0.004325595097798913,0.43255950977989127,82.17998543160498
num__유동부채계_연결,0.004299468992467763,0.4299468992467763,82.60993233085175
num__fe_Scope2_매출집약도,0.004291649065586617,0.4291649065586617,83.03909723741042
num__fe_유무형리스증가_자산,0.004290188984602548,0.4290188984602548,83.46811613587067
num__기말시가총액,0.00428375533487031,0.42837553348703095,83.8964916693577
num__매출대비온실가스직접외부비용비율_pct__diff1,0.004254912273831284,0.4254912273831284,84.32198289674083
num__매출대비온실가스직접외부비용비율_pct,0.00424896110240929,0.424896110240929,84.74687900698176
num__상장주식수_보통주,0.004248649669056599,0.42486496690565995,85.17174397388742
num__fe_signed_log1p_평균시가총액,0.004243142070387544,0.4243142070387544,85.59605818092616
num__종업원평균급여,0.004124808778368819,0.41248087783688187,86.00853905876305
