Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_강세(<-0.9%),DirectionPearson_강세(<-0.9%),DirectionSpearman_강세(<-0.9%),Rank_보합(-0.9%~4.7%),DirectionPearson_보합(-0.9%~4.7%),DirectionSpearman_보합(-0.9%~4.7%),Rank_약세(>4.7%),DirectionPearson_약세(>4.7%),DirectionSpearman_약세(>4.7%)
글로벌_HS6_수출_규모,34,0.2583768842273104,-0.39544852378466855,34,0.31585085989661504,-0.3993159233016799,32,0.28065818590841113,-0.3648622952407199,38,-0.09438770871967062,-0.4378359408932079
미국_GDP_성장률,35,0.31266227142500314,-0.16554644459807086,31,0.43705430018231267,0.17776902781722093,35,0.21529214276254793,-0.3603946923655551,36,0.1725402370064871,-0.3631514778561351
수출_발생_월수_-_조치_후_12개월,36,-0.05698887207910698,-0.024445714367147688,36,-0.07156026152138384,-0.025752715839541328,36,0.03751726778482132,0.0670780109107494,33,-0.147678887419877,-0.13048577747067044
한국_제조업_생산_증가율,37,-0.2453646714537562,-0.5499268813952685,38,-0.058911078346052824,-0.22113261724039315,34,-0.3600255188897652,-0.6192653316295311,35,-0.2663330149606789,-0.5869230498979079
수출_발생_월수_-_조치_전_6개월,38,-0.14461614172909668,-0.18455513852360053,37,-0.10987143464312255,-0.1189760737352645,38,-0.13925381856084007,-0.21293913614007548,37,-0.21278688153188366,-0.23872628291601447
미국의_연간_반덤핑_조치_건수,39,-0.5052105327260633,-0.6388129388645557,40,-0.20914430391786992,-0.47892752464417937,39,-0.6333789899092683,-0.6880648011809393,40,-0.6432704289037602,-0.6738700744063061
해당_HS6_최초_AD_조치_이후_경과_연수,40,0.2913087990924698,0.2720188990492596,41,0.26660583987136577,0.1118723281988421,40,0.2836665317629189,0.3016033623286218,39,0.315355777054179,0.39497304742438194
HS_챕터,41,0.23323791916126071,0.467284785622024,39,0.31429559413037356,0.4883129030294393,42,0.23744509178359385,0.4981365093014546,43,0.09873897632397195,0.3806422999894323
수입_발생_월수_-_조치_후_6개월,42,0.3327488880046683,0.3595514851796393,42,0.3707824958870478,0.4347811159904935,41,0.33977383523288796,0.3477071908032756,42,0.2682398559313067,0.24060215079663871
조치대상국-미국_간_인구가중_거리,43,0.6995037714022079,0.7838239752899613,43,0.6855555970155474,0.6291464809680343,43,0.6763735289298491,0.7630008088520741,41,0.767006439592343,0.8966348034205778
수출_발생_월수_-_조치_전_3개월,44,-0.06894374550327748,-0.0968332644062551,45,-0.022100493159029556,-0.0420648155824607,44,-0.1933753622933472,-0.2478689028435026,44,0.03234140932668471,0.0595944367228209
수입_발생_월수_-_조치_전_6개월,45,0.356623895140673,0.33964781732377,44,0.4565658370740236,0.5226463209853727,45,0.3376187431207236,0.3436456356767386,46,0.21229934236907633,0.045572780418420895
수입_발생_월수_-_조치_전_3개월,46,-0.6193860837533398,-0.6674080707983161,46,-0.5788934298047801,-0.5968948355855476,46,-0.609680442207958,-0.64905247659879,45,-0.6773361965354127,-0.7405746068251106
중국_GDP_성장률,47,-0.5329133679411856,-0.26678092209296506,48,-0.5696983706713266,-0.46496911637352195,47,-0.5481548750903,-0.28286936039644295,47,-0.4664848985414758,-0.04426740683630326
반덤핑_조치_시행_이후_경과_월수,48,0.04196248106611206,0.008874791114517526,47,0.040551634530909215,0.054134088943256456,48,-0.05259178224105759,-0.09435101767694207,48,0.19792420824012144,0.13685450605824775
p_ad_yyyymm,49,0.6130504277075194,0.7399963960928618,49,0.6177613336392257,0.7431149478209265,49,0.6347719790221755,0.7624323820801743,50,0.5860520499237882,0.6909978906164407
수입_발생_월수_-_조치_후_3개월,50,0.5425152113656474,0.6560927572809603,50,0.6734565299575287,0.8129726707570691,50,0.449172301910617,0.5929415308294269,51,0.46186406140444614,0.47686563956764166
반덤핑_조사_소요_기간,51,0.27189407380576214,0.29154667948620283,51,0.1867809877157886,0.3390275446591324,52,0.5990135953032321,0.16496817102626252,49,0.4935479846161065,0.3535426883277692
반덤핑_조치_부과_연도,52,0.2607814469083552,0.1852060096156109,52,0.300857883828717,0.20024243571508998,51,0.36711745626326703,0.38867472331246633,52,0.07905600616377031,-0.1288421668971454
